Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,Doors,City_Mileage,Highway_Mileage,ARAI_Certified_Mileage,Kerb_Weight,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Power,Torque,Odometer,Speedometer,Seating_Capacity,Seats_Material,Audiosystem,Basic_Warranty,Child_Safety_Locks,Handbrake
Audi,A3,35 Tdi Premium Plus,"Rs. 30,21,200",1968 cc,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,50 litres,Diesel,1416 mm,4456 mm,1796 mm,Sedan,4,18 km/litre,18 km/litre,20.38 km/litre,1340 kg,6,161 mm,Ventilated Disc,Ventilated Disc,multi-link suspension with stabilizer bar and coil springs,multi-link suspension with stabilizer bar and coil springs,205/55R17,205/55R17,143PS@4000rpm,320Nm@1750-3000rpm,Digital,Analog,5,Leather,CD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,Manual
Audi,A3,35 Tdi Technology,"Rs. 32,21,200",1968 cc,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,50 litres,Diesel,1416 mm,4456 mm,1796 mm,Sedan,4,18 km/litre,18 km/litre,20.38 km/litre,1340 kg,6,161 mm,Solid Disc,Solid Disc,multi-link suspension with stabilizer bar and coil springs,multi-link suspension with stabilizer bar and coil springs,205/55R17,205/55R17,143PS@4000rpm,320Nm@1750-3000rpm,Digital,Analog,5,Leather,CD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,Manual
Audi,A3,35 Tfsi Premium Plus,"Rs. 29,20,750",1395 cc,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,50 litres,Petrol,1416 mm,4456 mm,1796 mm,Sedan,4,12.4 km/litre,,19.2 km/litre,1340 kg,7,161 mm,Ventilated Disc,Ventilated Disc,multi-link suspension with stabilizer bar and coil springs,multi-link suspension with stabilizer bar and coil springs,205/55R17,205/55R17,150PS@6000RPM,250NM@1250-5000rpm,Digital,Analog,5,Leather,CD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,Manual
Audi,A3,35 Tfsi Technology,"Rs. 31,20,750",1395 cc,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,50 litres,Petrol,1416 mm,4456 mm,1796 mm,Sedan,4,12.4 km/litre,,19.2 km/litre,1340 kg,7,161 mm,Ventilated Disc,Ventilated Disc,multi-link suspension with stabilizer bar and coil springs,multi-link suspension with stabilizer bar and coil springs,205/55R17,205/55R17,150PS@6000RPM,250NM@1250-5000rpm,Digital,Analog,5,Leather,CD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,Manual
Audi,Q3,30 Tdi Premium Fwd,"Rs. 36,77,200",1968 cc,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,64 litres,Diesel,1608 mm,4388 mm,1831 mm,SUV,5,12 km/litre,,15.73 km/litre,1585 kg,7,170 mm,Ventilated Disc,Ventilated Disc,"Mac Pherson type with coil spring, stabiliser bar and double acting shock absorber","Four-link rear suspension with separate spring/shock absorber arrangement, subframe, aluminum wheel",215/65R16,215/65R16,148hp@3500-4000rpm,340Nm@1750-2750rpm,Digital,Analog,5,Leather,DVD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,Manual
Audi,Q3,35 Tdi Quattro Premium Plus,"Rs. 39,92,200",1968 cc,4,AWD (All Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,64 litres,Diesel,1608 mm,4388 mm,1831 mm,SUV,5,12 km/litre,,15.73 km/litre,1685 kg,7,170 mm,Ventilated Disc,Ventilated Disc,"McPherson struts with aluminum lower wishbones, steel pivot bearings, aluminum subframe, tubular ant","Four-link rear suspension with separate spring/shock absorber arrangement, subframe, aluminum wheel",235/55R17,235/55R17,177PS@4200rpm,380Nm@1750-2500rpm,Digital,Analog,5,Leather,DVD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,Manual
Audi,Q3,35 Tdi Quattro Technology,"Rs. 43,61,000",1968 cc,4,AWD (All Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,64 litres,Diesel,1608 mm,4388 mm,1831 mm,SUV,5,12 km/litre,,15.73 km/litre,1585 kg,7,170 mm,Ventilated Disc,Ventilated Disc,"Mac Pherson type with coil spring, stabiliser bar and double acting shock absorber","Double wishbones, two-way adjustable VPS gas-hydraulic shock absorbers, pushrod operated",235/55R17,235/55R17,177PS@4200rpm,380Nm@1750-2500rpm,Digital,Analog,5,Leather,DVD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,Manual
Audi,Q3,30 Tfsi Premium,"Rs. 34,96,750",1395 cc,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,64 litres,Petrol,1608 mm,4388 mm,1831 mm,SUV,5,12 km/litre,,16.9 km/litre,1585 kg,7,170 mm,Ventilated Disc,Ventilated Disc,"Mac Pherson type with coil spring, stabiliser bar and double acting shock absorber","Double wishbones, two-way adjustable VPS gas-hydraulic shock absorbers, pushrod operated",235/55 R17,235/55 R17,150PS@4200rpm,250Nm@1750-2500rpm,Digital,Analog,5,Leather,DVD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,Manual
Audi,A4,Premium Plus 35 Tfsi,"Rs. 41,49,000",1395 cc,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,54 litres,Petrol,1427 mm,4726 mm,1842 mm,Sedan,4,,,,1450 kg,7,,Ventilated Disc,Ventilated Disc,"Independent-wheel suspension, five-link axle with front track rod, aluminum transverse link, subframe and tubular anti-roll bar","Independent-wheel suspension, five-link axle with rear track rod, resiliently mounted subframe and anti-roll bar",225/50 R17 94Y,225/50 R17 94Y,150PS@5000-6000rpm,250Nm@1500-3500,Digital,Digital,5,Leather,CD/MP3/DVD Player with USB & Aux-in,,Yes,Automatic
Audi,A4,Technology 35 Tfsi,"Rs. 45,07,000",1395 cc,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,54 litres,Petrol,1427 mm,4726 mm,1842 mm,Sedan,4,,,,1450 kg,7,,Ventilated Disc,Ventilated Disc,"Independent-wheel suspension, five-link axle with front track rod, aluminum transverse link, subframe and tubular anti-roll bar","Independent-wheel suspension, five-link axle with rear track rod, resiliently mounted subframe and anti-roll bar",225/50 R17 94Y,225/50 R17 94Y,150PS@5000-6000rpm,250Nm@1500-3500,Digital,Digital,5,Leather,CD/MP3/DVD Player with USB & Aux-in,,Yes,Automatic
