state,Q1sales2017,Q2sales2017,Q3sales2017,Q4sales2017,2017sales,Q1sales2018,Q2sales2018,2018sales,Q1sales2019,Q2sales2019,Q3sales2019,Q4sales2019,2019sales
Maharashtra,87896,105040,105628,97864,396428,83533,106047,189580,90281,92713,88209,83277,354480
Gujarat,55696,68754,64338,69667,258455,61687,82544,144231,74480,74723,66849,68711,284763
Uttar Pradesh,57650,56348,59605,68724,242327,62820,72676,135496,79300,72377,68263,79876,299816
Karnataka,59021,64542,54653,60333,238549,52434,62877,115311,59478,61187,49989,56646,227300
Kerala,46763,78674,49862,54384,229683,52605,83472,136077,65242,70124,58077,59196,252639
Tamil Nadu,51601,60398,47031,54190,213220,51613,63877,114967,58754,60312,46916,53646,219628
NCT of Delhi,49594,50210,44288,56705,200797,49516,53765,103281,53447,48054,41520,50901,193922
Haryana,41457,390118,39850,48506,168531,39978,42460,82438,48831,44428,41659,52753,187671
Rajasthan,32763,34857,38167,39604,145392,36201,42319,78520,43247,41897,42140,44736,172020
Telangana,26778,32493,31475,29900,120646,26931,35260,62191,32382,31991,31460,32076,127909
Madhya Pradesh,22639,23240,25822,26889,98590,26467,32657,59124,35099,32943,31859,36241,136142
Punjab,20102,23012,23929,29079,96122,22444,27169,49613,27906,27014,26032,30268,111220
West Bengal,21181,25227,23262,26208,95878,23280,28439,51719,28502,28408,23993,23916,104819
Andhra Pradesh,20593,23063,21096,21983,86735,20121,26315,46436,26481,33251,23213,25492,108437
Assam,14953,18315,18261,17628,69157,15955,21236,37191,21358,22882,20820,20597,85657
Bihar,11964,12513,13717,13020,51214,13402,15816,29218,18593,16775,14467,17375,67210
Jharkhand,10436,10872,12629,11951,45888,11791,14914,26705,14662,15398,16830,14298,61188
Odisha,9793,11450,12794,11692,45729,11762,15292,27054,14162,15639,15859,14809,60469
Uttarakhand,9763,9687,10071,11068,40589,11362,12879,24241,13887,11646,13216,13370,52119
Jammu & Kashmir,10395,7635,9014,12889,39933,13394,14482,27876,16772,17737,16396,15842,66747
Chhattisgarh,8324,9311,10364,9367,37366,9449,11770,21219,13134,13163,13179,13802,53278
Himachal Pradesh,7697,8369,9389,8953,34408,8130,9989,18119,10164,9775,10223,9318,39480
Chandigarh,6630,7420,7454,8217,29721,7144,8359,15503,8301,8434,7936,8773,33444
Goa,4123,6045,5275,5304,20747,4864,7009,11873,5311,6041,5664,5189,22205
Meghalaya,1591,2057,3013,2272,8933,2028,2319,4347,237,2590,2948,2455,10364
Puducherry,1579,1736,1367,1632,6314,1618,1896,3514,1916,1932,1470,1697,7015
Nagaland,1347,1241,1649,949,5186,1162,1296,2458,1527,1641,1795,1511,6474
Tripura,1086,975,1083,1034,4178,1166,1346,2512,1474,1416,1379,1289,5558
Arunanchal Pradesh,1035,817,1068,958,3878,1249,1272,2521,1162,1073,1194,1192,4621
Manipur,772,970,1045,749,3536,1287,1283,2570,1446,1344,1574,1418,5782
Sikkim,695,740,635,619,2689,669,795,1464,891,998,870,982,3741
Andaman & Nicobar Island,491,513,625,598,2227,522,595,1117,538,508,602,472,2120
Mizoram,438,564,591,492,2085,476,606,1082,811,910,1137,1135,3993
